,ID,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category
5523,5524,063704755.jpg,-1,-1,-1,-1,262,382,372,376,-1,-1,-1,-1,317,379,278,139,280.1987,131.1396,315.8013,3.8604,402,238,293,331,211,158,345,120,458,222,440,300,3.964942370325197,child care,home activities
5524,5525,027401178.jpg,-1,-1,758,652,814,494,772,494,714,664,-1,-1,793,494,825,228,809.5743,194.9448,749.4257,66.0552,690,312,756,283,828,203,822,253,762,420,680,398,4.267008319654415,child care,home activities
5525,5526,031484116.jpg,998,578,950,466,948,237,923,299,803,483,882,679,936,268,712,235,676.1389,227.1498,546.8611,198.8502,704,402,727,330,712,187,712,282,725,421,698,503,3.9701687621560873,child care,home activities
5526,5527,011680411.jpg,772,611,807,468,888,286,872,303,822,489,816,673,880,295,743,197,701.0803,160.578,601.9197,74.422,675,373,723,290,710,197,776,197,779,350,721,439,3.940826309290984,child care,home activities
5527,5528,027315962.jpg,-1,-1,426,478,419,351,440,354,453,477,-1,-1,430,353,468,203,450.2517,178.1091,403.7483,112.8909,348,283,420,284,469,197,466,209,455,316,371,335,2.402998127340094,child care,home activities
5528,5529,020951922.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462,212,438.825,165.4229,383.175,53.5771,399,428,447,353,484,204,439,219,307,355,168,331,3.747767335361148,child care,home activities
5529,5530,045532875.jpg,-1,-1,-1,-1,369,432,447,447,-1,-1,-1,-1,408,440,443,221,441.2356,197.7419,433.7644,99.2581,322,321,402,333,401,219,484,222,495,371,376,366,2.963003881198943,child care,home activities
5530,5531,090843755.jpg,-1,-1,-1,-1,456,399,451,409,-1,-1,-1,-1,454,404,450,213,448.576,199.0886,438.424,99.9114,311,268,399,302,446,212,454,213,404,326,314,291,2.990866095297481,child care,home activities
5531,5532,092257240.jpg,-1,-1,-1,-1,542,580,663,600,-1,-1,-1,-1,603,590,654,283,658.2075,227.835,667.7925,102.165,608,477,512,450,553,270,754,296,746,454,721,557,3.781047473915131,child care,home activities
5532,5533,056847220.jpg,-1,-1,309,580,441,578,553,599,462,601,-1,-1,497,589,657,365,642.9024,303.1583,596.0976,97.8417,485,433,373,559,483,365,830,365,832,543,530,535,6.317518500170775,child care,home activities
5533,5534,036372552.jpg,532,642,127,549,340,553,551,572,688,630,402,681,446,563,468,289,473.8267,277.5131,567.1733,93.4869,408,518,243,503,357,278,578,299,661,481,607,597,6.19041840266068,child care,home activities
5534,5535,075653858.jpg,-1,-1,826,698,677,638,747,607,1041,619,-1,-1,712,623,594,336,602.989,313.175,687.011,99.825,535,615,326,563,468,353,719,319,836,421,741,495,6.878962712502519,child care,home activities
5535,5536,025736546.jpg,-1,-1,-1,-1,603,690,758,586,979,427,-1,-1,681,638,519,303,534.6611,274.486,648.3389,67.514,574,415,417,549,377,313,661,293,824,464,723,427,7.084066628709813,child care,home activities
5536,5537,069350984.jpg,-1,-1,-1,-1,636,681,706,640,985,437,884,704,671,661,480,329,480.0,253.0,481.0,28.0,578,460,423,601,324,365,636,293,727,508,706,390,6.737121046856736,child care,home activities
5537,5538,044817085.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1207,507,1166.8398,352.2801,1091.1602,60.7199,941,860,891,721,963,482,1450,531,1512,838,1397,879,9.036661330380817,"home repair, general",home repair
5538,5539,063669291.jpg,-1,-1,705,1025,618,814,770,811,767,1028,373,1049,694,813,693,397,723.195,301.8253,787.805,98.1747,609,724,463,665,522,414,863,379,888,566,885,637,6.409617773315348,"home repair, general",home repair
5539,5540,022123782.jpg,-1,-1,-1,-1,535,938,733,1012,-1,-1,-1,-1,634,975,581,451,605.2379,325.9324,656.7621,60.0676,538,947,336,801,404,491,758,410,798,671,963,721,8.124345635188105,"home repair, general",home repair
5540,5541,067707371.jpg,-1,-1,-1,-1,578,897,848,928,-1,-1,-1,-1,713,913,741,416,775.9705,339.8339,897.0295,76.1661,441,649,383,699,550,445,932,386,1090,643,987,677,8.703930146778522,"home repair, general",home repair
5541,5542,077224028.jpg,-1,-1,810,1071,634,832,838,904,-1,-1,-1,-1,736,868,722,409,737.0,306.0,778.0,32.0,420,835,401,659,497,438,947,379,1031,724,1015,600,8.295012477386637,"home repair, general",home repair
5542,5543,047321319.jpg,-1,-1,-1,-1,429,685,543,671,-1,-1,-1,-1,486,678,428,338,454.5756,246.7304,500.4244,89.2696,458,584,278,520,290,342,566,334,601,454,570,555,4.92,"standing, talking in person",miscellaneous
5543,5544,061772692.jpg,313,652,402,484,221,542,425,459,561,380,523,621,323,501,324,244,334.1659,214.3496,385.8341,63.6504,313,583,219,448,232,263,415,224,480,325,517,309,4.779315432151346,"home repair, general",home repair
5544,5545,045632592.jpg,-1,-1,-1,-1,905,662,982,635,-1,-1,-1,-1,944,649,864,437,855.1491,396.286,832.8509,293.714,704,470,768,536,805,453,922,421,945,554,817,568,3.149034137636491,"home repair, general",home repair
5545,5546,089409137.jpg,365,603,448,609,334,468,495,466,623,392,501,570,415,467,504,244,536.0,218.0,653.0,123.0,632,514,501,413,431,222,576,266,559,365,630,278,4.526529796654386,"home repair, general",home repair
5546,5547,049786918.jpg,-1,-1,-1,-1,1076,692,1067,705,-1,-1,-1,-1,1072,699,947,495,942.3701,477.5259,920.6299,395.4741,885,601,905,596,972,497,921,493,932,562,906,618,2.5464893481025985,"home repair, general",home repair
5547,5548,084180871.jpg,-1,-1,-1,-1,522,1009,755,972,-1,-1,-1,-1,639,991,577,411,615.4952,287.0703,693.5048,35.9297,780,860,441,814,457,438,696,383,749,634,860,773,7.889322404364015,"home repair, general",home repair
5548,5549,080135206.jpg,-1,-1,-1,-1,531,866,702,860,-1,-1,-1,-1,617,863,671,375,705.1432,318.0946,843.8568,86.9054,904,745,634,770,556,392,786,358,894,566,1049,702,8.088320468428535,"home repair, general",home repair
5549,5550,041050482.jpg,-1,-1,-1,-1,414,1028,640,1015,-1,-1,-1,-1,527,1022,535,349,587.6988,239.0637,691.3012,22.9363,696,705,401,705,379,333,690,364,724,581,804,705,7.1902734301276725,"home repair, general",home repair
5550,5551,023008449.jpg,-1,-1,-1,-1,352,881,155,877,-1,-1,-1,-1,254,879,239,368,275.5429,307.0952,376.4571,138.9048,477,571,545,708,362,369,116,367,18,665,174,646,5.884259681557229,"home repair, general",home repair
5551,5552,040608213.jpg,-1,-1,-1,-1,441,838,603,798,-1,-1,-1,-1,522,818,478,176,486.6857,171.8396,707.3143,66.1604,587,603,314,581,355,224,600,128,628,451,817,510,7.338978675537897,"home repair, general",home repair
5552,5553,082621738.jpg,-1,-1,-1,-1,680,873,755,838,-1,-1,-1,-1,718,856,637,338,649.2603,289.5226,711.7397,42.4774,758,612,522,637,519,330,755,345,767,507,820,649,7.64470640378033,"home repair, general",home repair
5553,5554,052443635.jpg,-1,-1,-1,-1,628,873,730,863,-1,-1,-1,-1,679,868,645,325,656.8335,293.3741,746.1665,54.6259,755,631,538,665,556,314,733,336,835,603,1021,609,7.647418387926739,"home repair, general",home repair
5554,5555,080609675.jpg,-1,-1,-1,-1,737,568,843,570,-1,-1,-1,-1,790,569,790,242,777.5964,195.6296,737.4036,45.3704,640,539,663,421,700,251,880,233,938,423,894,601,4.666256743900832,"standing, miscellaneous",miscellaneous
5555,5556,035347748.jpg,-1,-1,-1,-1,1032,943,1228,952,-1,-1,-1,-1,1130,948,1152,499,1144.0672,376.5709,1129.9328,158.4291,812,484,885,715,1002,510,1301,487,1450,697,1368,908,6.557975297300227,"standing, miscellaneous",miscellaneous
5556,5557,097304535.jpg,-1,-1,-1,-1,1378,910,1189,925,-1,-1,-1,-1,1284,918,1228,464,1196.6461,369.5312,1105.3539,94.4688,1111,891,1124,662,1124,420,1332,507,1294,935,1028,1056,8.694494809935767,"home repair, general",home repair
5557,5558,097973433.jpg,-1,-1,-1,-1,1298,975,1496,907,-1,-1,-1,-1,1397,941,1292,451,1264.0,373.0,1158.0,73.0,916,618,1158,718,1189,420,1394,482,1273,904,1005,1065,9.553386833997669,"home repair, general",home repair
5558,5559,026827602.jpg,-1,-1,-1,-1,-1,-1,1437,1040,-1,-1,-1,-1,-1,-1,1307,513,1269.4841,416.2922,1164.5159,145.7078,972,838,1189,798,1180,522,1434,503,1316,913,1074,773,8.706940679710641,"home repair, general",home repair
5559,5560,004097822.jpg,182,165,284,199,206,130,233,115,291,172,204,152,220,123,273,42,297.0706,38.025,357.9294,27.975,280,115,228,87,263,31,282,53,284,122,328,153,1.8504918265153183,"laying tile or linoleum,repairing appliances",home repair
5560,5561,070506328.jpg,180,171,276,197,200,136,214,119,289,180,191,160,207,128,279,43,285.3787,43.8738,345.6213,52.1262,260,100,244,44,275,37,282,48,247,108,294,140,1.8241578879033469,"laying tile or linoleum,repairing appliances",home repair
5561,5562,045098650.jpg,435,167,389,170,449,112,413,115,351,184,422,191,431,114,356,35,359.5612,35.0672,299.4388,33.9328,310,174,357,116,369,31,342,39,365,94,340,146,1.803995565404749,"laying tile or linoleum,repairing appliances",home repair
5562,5563,010075284.jpg,262,279,389,211,253,176,281,181,357,265,245,257,267,179,338,51,364.2829,72.7901,428.7171,126.2099,416,91,387,93,331,53,344,49,373,59,416,96,2.510955196732909,"laying tile or linoleum,repairing appliances",home repair
5563,5564,070752282.jpg,378,239,313,280,337,190,393,176,408,281,429,243,365,183,327,97,353.1569,90.2931,261.8431,113.7069,329,249,306,191,275,121,379,73,431,123,388,172,2.828031117226258,"laying tile or linoleum,repairing appliances",home repair
